Date,TN,SRP,cyano_prop,din_srp_ratio
8-Sep,10812.6314,3.505634,0.452,3084.358321
15-Sep,10770.14491,11.877934,0.544,906.7355409
22-Sep,10285.80145,7.56338,0.869,1359.947728
29-Sep,10965.48364,1.757433,0.898,6239.488868
6-Oct,5812.7098,5.239437,0.849,1109.414962
