Date,Prop_cyano,Chl_a_conc,Average_Secchi,Average_Temp,Average_S/m,Average_DO_%,Average_DO_mg/L
9/8,0.452,30.425006,1.811333333,22.3,105.93,111.275,9.55375
9/15,0.544,37.611695,1.775851064,19.83448276,105.9111111,104.14,9.46
9/22,0.869,1.17831,1.664166667,17.11666667,105.58,108.97,10.497
9/29,0.898,82.200703,1.649166667,19.225,105.79,,
10/6,0.849,8.421281,1.667073171,17.18666667,105.2,108.13,10.39
10/20,0.655,NA,1.436363636,14.30909091,103.3181818,,
